1;2
11;19
21;47
31;75
41;102
51;125
61;159
71;180
81;208
91;236
101;278
111;312
121;341
131;377
141;407
151;428
161;462
171;496
181;510
191;560
201;601
211;636
221;654
231;718
241;734
251;761
261;774
271;795
281;835
291;892
301;925
311;979
321;970
331;1012
341;1051
351;1113
361;1140
371;1147
381;1251
391;1234
401;1283
411;1323
421;1331
431;1356
441;1403
451;1431
461;1509
471;1506
481;1580
491;1580
501;1626
511;1683
521;1714
531;1732
541;1775
551;1805
561;1850
571;1865
581;1920
591;1942
601;1981
611;2041
621;2086
631;2054
641;2157
651;2176
661;2192
671;2261
681;2279
691;2306
701;2353
711;2396
721;2426
731;2458
741;2516
751;2546
761;2552
771;2657
781;2632
791;2689
801;2733
811;2723
821;2839
831;2855
841;2909
851;2898
861;2958
871;2954
881;3107
891;3042
901;3093
911;3089
921;3145
931;3239
941;3234
951;3347
961;3348
971;3374
981;3392
991;3465
